Date,open,high,low,close,tick_volume
2022-12-30 07:00:00,1.0655000000000001,1.0657,1.06542,1.06552,276
2022-12-30 07:15:00,1.06551,1.06567,1.06549,1.0656,386
2022-12-30 07:30:00,1.06559,1.06579,1.0655000000000001,1.06573,509
2022-12-30 07:45:00,1.06572,1.06576,1.0642,1.06433,1042
2022-12-30 08:00:00,1.06432,1.06497,1.06405,1.06471,935
2022-12-30 08:15:00,1.06475,1.06503,1.06426,1.0642800000000001,678
2022-12-30 08:30:00,1.06427,1.06436,1.06404,1.0642,729
2022-12-30 08:45:00,1.06419,1.06476,1.06407,1.06444,774
2022-12-30 09:00:00,1.06444,1.06486,1.06419,1.06465,717
2022-12-30 09:15:00,1.06466,1.06493,1.06417,1.06422,509
2022-12-30 09:30:00,1.06419,1.06445,1.06386,1.06424,931
2022-12-30 09:45:00,1.06424,1.06511,1.06389,1.06508,1440
2022-12-30 10:00:00,1.06509,1.06641,1.06499,1.06604,1896
2022-12-30 10:15:00,1.06601,1.06638,1.06556,1.06595,1720
2022-12-30 10:30:00,1.0659399999999999,1.06694,1.0659399999999999,1.06689,1344
2022-12-30 10:45:00,1.06692,1.06747,1.0669,1.06708,1393
2022-12-30 11:00:00,1.06707,1.06715,1.06635,1.06688,1324
2022-12-30 11:15:00,1.06689,1.0669,1.06568,1.06571,1411
2022-12-30 11:30:00,1.0657,1.06621,1.06512,1.06608,1245
2022-12-30 11:45:00,1.06609,1.0666,1.06535,1.06546,1396
2022-12-30 12:00:00,1.06548,1.0668,1.0653299999999999,1.06622,1272
2022-12-30 12:15:00,1.06623,1.06686,1.06614,1.06685,986
2022-12-30 12:30:00,1.06685,1.06745,1.06643,1.06734,1117
2022-12-30 12:45:00,1.06734,1.06763,1.06681,1.06696,1110
2022-12-30 13:00:00,1.06696,1.06817,1.06696,1.06809,1097
2022-12-30 13:15:00,1.0681,1.06894,1.0681,1.06885,1068
2022-12-30 13:30:00,1.06882,1.06987,1.06864,1.06936,1349
2022-12-30 13:45:00,1.06936,1.06977,1.06752,1.06761,1792
2022-12-30 14:00:00,1.06761,1.06785,1.06717,1.06776,1450
2022-12-30 14:15:00,1.06776,1.06813,1.06751,1.06784,1222
2022-12-30 14:30:00,1.06782,1.06876,1.0678,1.06873,1167
2022-12-30 14:45:00,1.06873,1.06881,1.06712,1.06722,1730
2022-12-30 15:00:00,1.06721,1.06804,1.06641,1.06651,1596
2022-12-30 15:15:00,1.06651,1.06675,1.0647,1.06488,2158
2022-12-30 15:30:00,1.06488,1.06653,1.0645,1.06622,1911
2022-12-30 15:45:00,1.06622,1.06698,1.06587,1.06684,1612
2022-12-30 16:00:00,1.06685,1.0678,1.06644,1.06678,2139
2022-12-30 16:15:00,1.06679,1.06791,1.06614,1.06762,1754
2022-12-30 16:30:00,1.06762,1.07012,1.06728,1.06913,3410
2022-12-30 16:45:00,1.06913,1.06947,1.06734,1.06886,3770
2022-12-30 17:00:00,1.06885,1.06898,1.0673300000000001,1.06842,3049
2022-12-30 17:15:00,1.06841,1.06854,1.06703,1.06744,2688
2022-12-30 17:30:00,1.06745,1.06858,1.06693,1.06789,2873
2022-12-30 17:45:00,1.06789,1.0679,1.06593,1.06723,4095
2022-12-30 18:00:00,1.06723,1.0682,1.06707,1.0673300000000001,3178
2022-12-30 18:15:00,1.06732,1.0688900000000001,1.06732,1.06846,1935
2022-12-30 18:30:00,1.06845,1.06868,1.06809,1.06841,1458
2022-12-30 18:45:00,1.06841,1.06972,1.06836,1.06966,1388
2022-12-30 19:00:00,1.06966,1.07076,1.06962,1.07024,1691
2022-12-30 19:15:00,1.07024,1.07044,1.06998,1.07018,1335
2022-12-30 19:30:00,1.07019,1.07108,1.07017,1.07069,1661
2022-12-30 19:45:00,1.07067,1.07115,1.07043,1.07105,2070
2022-12-30 20:00:00,1.07112,1.07112,1.0704,1.07058,2997
2022-12-30 20:15:00,1.07058,1.07073,1.07004,1.07069,2025
2022-12-30 20:30:00,1.07069,1.07123,1.07041,1.07104,1931
2022-12-30 20:45:00,1.07108,1.0713300000000001,1.07022,1.07023,1677
2022-12-30 21:00:00,1.0701,1.0702099999999999,1.06947,1.06981,1193
